,title,elo,genre,year,W,L
17,The Lost World: Jurassic Park,0,Science Fiction/Action/Adventure,1997,0,0
18,Jurassic Park III,0,Science Fiction/Thriller/Adventure,2001,0,0
19,Knives Out,0,Mystery/Comedy/Crime,2019,0,0
20,Glass Onion,0,Crime/Mystery/Comedy,2022,0,0
21,Inglourious Basterds,0,War/Drama/Thriller,2009,0,0
22,Megamind,0,Comedy/Science Fiction/Action/Family/Animation,2010,0,0
24,Wake Up Dead Man,0,Comedy/Thriller/Mystery,2025,0,0
27,The Shape of Water,0,Fantasy/Drama/Romance,2017,0,0
29,The Girl with the Dragon Tattoo,0,Thriller/Drama/Mystery/Crime,2009,0,0
32,Wonder Woman,0,Action/Fantasy/Adventure,2017,0,0
33,2001: A Space Odyssey,0,Science Fiction/Adventure/Mystery,1968,0,0
36,Tangled,0,Family/Adventure/Animation,2010,0,0
39,The Room,0,Drama/Romance,2003,0,0
40,Olaf's Frozen Adventure,0,Animation/Adventure/Fantasy/Family/Comedy,2017,0,0
41,Arthur Christmas,0,Animation/Drama/Family/Comedy,2011,0,0
43,Coco,0,Adventure/Animation/Music/Family,2017,0,0
44,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,Comedy/War,1964,0,0
45,Kung Fury,0,Comedy/Science Fiction/Fantasy/Action,2015,0,0
49,Hearts Beat Loud,0,Drama/Family/Comedy/Music,2018,0,0
50,Incredibles 2,0,Family/Action/Animation/Adventure,2018,0,0
52,Mary Queen of Scots,0,Drama/History,2018,0,0
53,Ant-Man and the Wasp,0,Adventure/Action/Science Fiction,2018,0,0
54,Captain Marvel,0,Science Fiction/Action/Adventure,2019,0,0
55,Frozen II,0,Comedy/Animation/Adventure/Fantasy/Family,2019,0,0
56,Saving Face,0,Drama/Romance/Comedy,2004,0,0
57,The Mummy,0,Action/Adventure/Fantasy,1999,0,0
58,Barbie as The Princess & the Pauper,0,Comedy/Animation/Family,2004,0,0
60,"I Love You, Man",0,Comedy/Romance,2009,0,0
61,The Mask,0,Fantasy/Romance/Crime/Comedy,1994,0,0
63,Burn After Reading,0,Comedy/Drama,2008,0,0
64,Wallace & Gromit: Vengeance Most Fowl,0,Adventure/Comedy/Animation/Science Fiction/Family,2024,0,0
65,13 Going on 30,0,Comedy/Romance/Fantasy,2004,0,0
66,Wallace & Gromit: The Curse of the Were-Rabbit,0,Adventure/Comedy/Animation/Family,2005,0,0
71,Mamma Mia!,0,Comedy/Romance,2008,0,0
72,Taylor Tomlinson: Have It All,0,Comedy,2024,0,0
73,El Camino: A Breaking Bad Movie,0,Crime/Drama/Thriller,2019,0,0
76,Nimona,0,Science Fiction/Adventure/Fantasy/Animation/Family/Action,2023,0,0
78,Lady Bird,0,Comedy/Drama,2017,0,0
79,Taylor Tomlinson: Quarter-Life Crisis,0,Comedy,2020,0,0
81,Tommy Boy,0,Comedy,1995,0,0
83,School of Rock,0,Music/Family/Comedy,2003,0,0
84,Legally Blonde,0,Comedy,2001,0,0
87,Batman Begins,0,Crime/Action/Drama,2005,0,0
89,Django Unchained,0,Drama/Western,2012,0,0
90,Sam Jay: 3 in the Morning,0,Comedy,2020,0,0
91,Hannah Gadsby: Douglas,0,Comedy,2020,0,0
95,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,0,Documentary,2019,0,0
98,Nikki Glaser: Bangin',0,Comedy,2019,0,0
99,Seth Meyers: Lobby Baby,0,Comedy,2019,0,0
100,Springsteen on Broadway,0,Music/Documentary,2018,0,0
101,Aziz Ansari: Right Now,0,Comedy/TV Movie/Documentary,2019,0,0
103,John Mulaney: The Comeback Kid,0,Documentary/TV Movie/Comedy,2015,0,0
104,Hannah Gadsby: Something Special,0,Comedy,2023,0,0
105,John Mulaney: Baby J,0,Comedy,2023,0,0
107,"Ken Jeong: You Complete Me, Ho",0,Comedy/Documentary,2019,0,0
110,Jen Kirkman: Just Keep Livin'?,0,Comedy,2017,0,0
111,Mulan,0,Family/Animation/Adventure,1998,0,0
112,Tig,0,Documentary,2015,0,0
114,Tig Notaro: Happy to Be Here,0,Comedy,2018,0,0
115,Set It Up,0,Comedy/Romance,2018,0,0
116,Ali Wong: Hard Knock Wife,0,Comedy,2018,0,0
117,James Acaster: Repertoire,0,Comedy,2018,0,0
121,Big Fish,0,Drama/Fantasy/Adventure,2003,0,0
122,Jurassic Park,0,Science Fiction/Adventure,1993,0,0
123,Labyrinth,0,Adventure/Family/Fantasy,1986,0,0
124,Wild Strawberries,0,Drama,1957,0,0
126,Through a Glass Darkly,0,Drama,1961,0,0
129,Independence Day,0,Science Fiction/Adventure/Action,1996,0,0
130,The Day After Tomorrow,0,Thriller/Science Fiction/Adventure,2004,0,0
131,Dungeons & Dragons: Honor Among Thieves,0,Fantasy/Adventure/Comedy,2023,0,0
132,Demi Adejuyigbe: Is Going to Do One (1) Backflip,0,Comedy,2025,0,0
135,Die Hard,0,Thriller/Action,1988,0,0
136,Fast Times at Ridgemont High,0,Drama/Romance/Comedy,1982,0,0
137,The Grand Budapest Hotel,0,Comedy/Drama,2014,0,0
138,Fantastic Mr. Fox,0,Comedy/Animation/Family/Adventure,2009,0,0
141,The Darjeeling Limited,0,Comedy/Adventure/Drama,2007,0,0
142,Rushmore,0,Comedy/Drama,1998,0,0
146,Corpse Bride,0,Fantasy/Animation/Romance,2005,0,0
147,Edward Scissorhands,0,Fantasy/Drama/Romance,1990,0,0
150,Pirates of the Caribbean: The Curse of the Black Pearl,0,Fantasy/Adventure/Action,2003,0,0
151,Pirates of the Caribbean: Dead Man's Chest,0,Action/Adventure/Fantasy,2006,0,0
152,Pirates of the Caribbean: At World's End,0,Adventure/Action/Fantasy,2007,0,0
154,Into the Woods,0,Comedy/Fantasy,2014,0,0
155,The Imaginarium of Doctor Parnassus,0,Fantasy/Adventure/Mystery,2009,0,0
156,Heathers,0,Comedy/Crime,1989,0,0
157,The Princess Bride,0,Adventure/Fantasy/Family/Romance,1987,0,0
158,Wonka,0,Fantasy/Family/Comedy,2023,0,0
165,Stargate: Continuum,0,Science Fiction/Adventure/TV Movie/Action,2008,0,0
166,Stargate SG-1: Children of the Gods,0,TV Movie/Action/Drama/Adventure/Science Fiction,2009,0,0
167,Star Wars: Episode III – Revenge of the Sith,0,Science Fiction/Adventure/Action,2005,0,0
169,Star Wars,0,Adventure/Science Fiction/Action,1977,0,0
170,Star Wars: Episode I – The Phantom Menace,0,Science Fiction/Adventure/Action,1999,0,0
171,Return of the Jedi,0,Science Fiction/Adventure/Action,1983,0,0
172,Star Wars: Episode II – Attack of the Clones,0,Science Fiction/Adventure/Action,2002,0,0
173,Star Wars: The Rise of Skywalker,0,Adventure/Action/Science Fiction,2019,0,0
174,It's a Wonderful Life,0,Family/Fantasy/Drama,1946,0,0
178,Spirited Away,0,Family/Fantasy/Animation,2001,0,0
180,The Wild Robot,0,Adventure/Animation/Family/Science Fiction,2024,0,0
181,Thelma,0,Adventure/Comedy/Action,2024,0,0
182,Crazy Rich Asians,0,Romance/Comedy,2018,0,0
183,Moonlight,0,Drama,2016,0,0
184,The Intern,0,Comedy,2015,0,0
185,The Martian,0,Drama/Science Fiction/Adventure,2015,0,0
186,The Wolf of Wall Street,0,Comedy/Drama/Crime,2013,0,0
188,Easy A,0,Comedy,2010,0,0
189,Scott Pilgrim vs. the World,0,Romance/Action/Comedy,2010,0,0
190,The Social Network,0,Drama,2010,0,0
191,300,0,Action/War/Adventure,2006,0,0
192,Serenity,0,Science Fiction/Action/Adventure/Thriller,2005,0,0
193,Shaun of the Dead,0,Horror/Comedy,2004,0,0
194,X2,0,Science Fiction/Action/Adventure,2003,0,0
196,Hannibal,0,Thriller/Drama/Horror/Crime,2001,0,0
198,But I'm a Cheerleader,0,Romance/Drama/Comedy,1999,0,0
199,Office Space,0,Comedy,1999,0,0
200,Men in Black,0,Science Fiction/Comedy/Action/Adventure,1997,0,0
201,Fargo,0,Crime/Comedy/Drama/Thriller,1996,0,0
202,Braveheart,0,Action/History/Drama/War,1995,0,0
205,The Goonies,0,Adventure/Family/Comedy,1985,0,0
207,Amadeus,0,Drama/History/Music,1984,0,0
209,The Karate Kid,0,Action/Drama/Family,1984,0,0
211,Close Encounters of the Third Kind,0,Science Fiction/Drama,1977,0,0
213,Heathers: The Musical,0,Music/Comedy/Thriller,2022,0,0
214,Marty Supreme,0,Thriller/Drama,2025,0,0
215,Gattaca,0,Drama/Science Fiction,1997,0,0
218,Mean Girls,0,Comedy/Drama,2004,0,0
219,Spider-Man: Homecoming,0,Action/Adventure/Science Fiction,2017,0,0
221,Stand by Me,0,Adventure/Drama,1986,0,0
222,"Good Luck, Have Fun, Don't Die",0,Action/Science Fiction/Comedy,2025,0,0
223,10 Things I Hate About You,0,Comedy/Drama/Romance,1999,0,0
224,Forrest Gump,0,Drama/Romance/Comedy,1994,0,0
227,Ratatouille,0,Family/Fantasy/Animation/Comedy,2007,0,0
232,Harry Potter and the Prisoner of Azkaban,0,Adventure/Fantasy,2004,0,0
233,Inside Out,0,Animation/Adventure/Comedy/Family/Drama,2015,0,0
234,Harry Potter and the Philosopher's Stone,0,Adventure/Fantasy,2001,0,0
235,Back to the Future,0,Adventure/Comedy/Science Fiction,1985,0,0
236,Howl's Moving Castle,0,Animation/Fantasy/Adventure,2004,0,0
237,Avatar,0,Adventure/Science Fiction/Action,2009,0,0
240,Black Panther,0,Adventure/Science Fiction/Action,2018,0,0
242,WALL·E,0,Animation/Science Fiction/Family,2008,0,0
244,Harry Potter and the Goblet of Fire,0,Adventure/Fantasy,2005,0,0
246,Spider-Man,0,Action/Science Fiction,2002,0,0
247,The Hunger Games: Catching Fire,0,Science Fiction/Adventure/Action,2013,0,0
248,The Lord of the Rings: The Two Towers,0,Action/Fantasy/Adventure,2002,0,0
249,Harry Potter and the Chamber of Secrets,0,Adventure/Fantasy,2002,0,0
251,Iron Man,0,Adventure/Science Fiction/Action,2008,0,0
252,The Incredibles,0,Animation/Family/Adventure/Action,2004,0,0
253,"Monsters, Inc.",0,Comedy/Animation/Family/Fantasy,2001,0,0
255,Spider-Man 2,0,Action/Science Fiction/Adventure,2004,0,0
256,Princess Mononoke,0,Fantasy/Adventure/Animation,1997,0,0
257,Harry Potter and the Deathly Hallows: Part 2,0,Fantasy/Adventure,2011,0,0
258,The Nightmare Before Christmas,0,Family/Animation/Fantasy,1993,0,0
260,Captain America: Civil War,0,Adventure/Action/Science Fiction,2016,0,0
262,Shrek 2,0,Romance/Family/Comedy/Animation/Fantasy,2004,0,0
264,Harry Potter and the Half-Blood Prince,0,Adventure/Fantasy,2009,0,0
265,The Lion King,0,Animation/Drama/Family,1994,0,0
267,The Hangover,0,Comedy,2009,0,0
269,Trainspotting,0,Crime/Drama,1996,0,0
270,"Crazy, Stupid, Love.",0,Comedy/Romance/Drama,2011,0,0
271,Captain America: The First Avenger,0,Action/Adventure/Science Fiction,2011,0,0
272,The Great Gatsby,0,Drama/Romance,2013,0,0
273,Ferris Bueller's Day Off,0,Comedy,1986,0,0
274,Frozen,0,Fantasy/Animation/Adventure/Family,2013,0,0
275,Moana,0,Animation/Adventure/Family/Comedy,2016,0,0
278,Love Actually,0,Romance/Drama/Comedy,2003,0,0
280,American Beauty,0,Drama,1999,0,0
282,Iron Man 2,0,Adventure/Science Fiction/Action,2010,0,0
284,Iron Man 3,0,Action/Adventure/Science Fiction,2013,0,0
285,Kung Fu Panda,0,Comedy/Family/Animation/Action,2008,0,0
287,Kingsman: The Secret Service,0,Action/Comedy/Crime/Adventure,2014,0,0
289,Pitch Perfect,0,Music/Comedy/Romance,2012,0,0
290,Kiki's Delivery Service,0,Fantasy/Animation/Family,1989,0,0
291,E.T. the Extra-Terrestrial,0,Adventure/Science Fiction/Family,1982,0,0
292,Halloween,0,Thriller/Horror,1978,0,0
293,Black Panther: Wakanda Forever,0,Science Fiction/Adventure/Action,2022,0,0
294,Now You See Me,0,Thriller/Crime,2013,0,0
